bci,cci,inflation_growth_rate,government_reserves,unemployment_rate,industrial_production,long_term_interest,ppi_growth_rate,share_price,short_term_interest,trade_in_goods,qgdp
98.33641,99.99999955321945,3.680446008393078,46876.568370565044,5.869914738124239,19.61584,2.93,-0.9740264,39.72739905646173,5.086949152542373,-24.434713276492083,-0.562677031
97.73941,99.99999955321945,3.680446008393078,46876.568370565044,5.869914738124239,19.50928,2.95,-0.9740264,39.72739905646173,5.086949152542373,-24.434713276492083,-0.562677031
97.09058,99.99999955321945,3.680446008393078,46876.568370565044,5.869914738124239,19.1095,2.87,-0.6493509,39.72739905646173,5.086949152542373,-24.434713276492083,-0.562677031
96.54787,99.99999955321945,3.680446008393078,46876.568370565044,5.869914738124239,18.94961,2.66,-0.3267975,39.72739905646173,5.086949152542373,-24.434713276492083,-1.51394063
96.24596,99.99999955321945,3.680446008393078,46876.568370565044,5.869914738124239,18.4965,2.68,-0.327869,39.72739905646173,5.086949152542373,-24.434713276492083,-1.51394063
96.21149,99.99999955321945,3.680446008393078,46876.568370565044,5.869914738124239,18.04339,2.59,0.331126,39.72739905646173,5.086949152542373,-24.434713276492083,-1.51394063
96.55308,99.99999955321945,3.680446008393078,46876.568370565044,5.869914738124239,17.91016,2.48,0.6600663,39.72739905646173,5.086949152542373,-24.434713276492083,-0.478023888
97.20436,99.99999955321945,3.680446008393078,46876.568370565044,5.869914738124239,17.96349,2.47,0.6622519,39.72739905646173,5.086949152542373,-24.434713276492083,-0.478023888
97.98586,99.99999955321945,3.680446008393078,46876.568370565044,5.869914738124239,17.85683,2.37,0.331126,39.72739905646173,5.086949152542373,-24.434713276492083,-0.478023888
98.69298,99.99999955321945,3.680446008393078,46876.568370565044,5.869914738124239,17.75027,2.29,1.328904,39.72739905646173,5.086949152542373,-24.434713276492083,0.108992196
99.21084,99.99999955321945,3.680446008393078,46876.568370565044,5.869914738124239,17.85683,2.37,0.9933779,39.72739905646173,5.086949152542373,-24.434713276492083,0.108992196
99.47928,99.99999955321945,3.680446008393078,46876.568370565044,5.869914738124239,17.91016,2.38,0.331126,39.72739905646173,5.086949152542373,-24.434713276492083,0.108992196
99.51277,99.99999955321945,3.680446008393078,46876.568370565044,5.869914738124239,17.93683,2.3,0.002885633333333304,39.72739905646173,5.086949152542373,-24.434713276492083,1.129346277
99.58009,99.99999955321945,3.680446008393078,46876.568370565044,5.869914738124239,17.91016,2.36,-0.32535473333333337,39.72739905646173,5.086949152542373,-24.434713276492083,1.129346277
100.0812,99.99999955321945,3.680446008393078,46876.568370565044,5.869914738124239,17.93683,2.38,-0.6535951,39.72739905646173,5.086949152542373,-24.434713276492083,1.129346277
100.7853,99.99999955321945,3.680446008393078,46876.568370565044,5.869914738124239,18.15005,2.43,-0.655738,39.72739905646173,5.086949152542373,-24.434713276492083,1.956688077
101.4278,99.99999955321945,3.680446008393078,46876.568370565044,5.869914738124239,18.44317,2.48,-0.5464483333333334,39.72739905646173,5.086949152542373,-24.434713276492083,1.956688077
102.0589,99.99999955321945,3.680446008393078,46876.568370565044,5.869914738124239,18.68305,2.51,-0.4371586666666667,39.72739905646173,5.086949152542373,-24.434713276492083,1.956688077
102.5359,99.99999955321945,3.680446008393078,46876.568370565044,4.9,19.1095,2.61,-0.327869,39.72739905646173,5.086949152542373,0.2819,2.856234655
103.0123,99.99999955321945,3.680446008393078,46876.568370565044,4.7,19.34938,2.65,0.3289475,39.72739905646173,5.086949152542373,0.3012,2.856234655
103.2814,99.99999955321945,3.680446008393078,46876.568370565044,4.6,19.80239,2.68,0.0005392499999999911,39.72739905646173,5.086949152542373,0.252,2.856234655
103.3754,99.99999955321945,3.680446008393078,46876.568370565044,4.7,20.04228,2.75,-0.327869,39.72739905646173,5.086949152542373,0.211,1.627204957
103.2296,99.99999955321945,3.680446008393078,46876.568370565044,4.3,20.36207,2.76,-0.655738,39.72739905646173,5.086949152542373,0.1936,1.627204957
102.8565,99.99999955321945,3.680446008393078,46876.568370565044,4.2,20.38883,2.78,0.3300332,39.72739905646173,5.086949152542373,0.2421,1.627204957
102.6713,99.99999955321945,3.680446008393078,46876.568370565044,4.0,20.54872,2.9,-0.327869,39.72739905646173,5.086949152542373,0.2708,1.350464288
102.476,99.99999955321945,3.680446008393078,46876.568370565044,4.2,20.52206,2.97,0.16501300000000002,39.72739905646173,5.086949152542373,0.2637,1.350464288
102.2939,99.99999955321945,3.680446008393078,46876.568370565044,4.1,20.65528,2.97,0.657895,39.72739905646173,5.086949152542373,0.2431,1.350464288
102.2515,99.99999955321945,3.680446008393078,46876.568370565044,4.3,21.00173,2.88,0.9900994,39.72739905646173,5.086949152542373,0.2151,0.600328737
102.2228,99.99999955321945,3.680446008393078,46876.568370565044,4.2,21.05506,2.89,0.657895,39.72739905646173,5.086949152542373,0.1698,0.600328737
102.1633,99.99999955321945,3.680446008393078,46876.568370565044,4.2,21.13506,2.96,0.9900994,39.72739905646173,5.086949152542373,0.2553,0.600328737
101.7571,99.99999955321945,0.3745318,46876.568370565044,4.0,21.26829,2.9,0.9868426,39.72739905646173,5.086949152542373,0.2437,-0.388380468
101.2835,99.99999955321945,0.3745318,46876.568370565044,3.9,21.08173,2.84,0.983607,39.72739905646173,5.086949152542373,0.2274,-0.388380468
100.8133,99.99999955321945,0.3745318,46876.568370565044,4.2,21.08173,2.96,1.980199,39.72739905646173,5.086949152542373,0.3133,-0.388380468
100.2339,99.99999955321945,0.7490637,46876.568370565044,4.0,21.24162,3.18,1.973685,39.72739905646173,5.086949152542373,0.3753,0.826319427
99.49592,99.99999955321945,1.123595,46876.568370565044,4.3,21.05506,3.07,2.970298,39.72739905646173,5.086949152542373,0.3736,0.826319427
98.9009,99.99999955321945,1.872659,46876.568370565044,4.3,20.86851,3.0,2.960528,39.72739905646173,5.086949152542373,0.3729,0.826319427
98.7865,99.99999955321945,2.238806,46876.568370565044,4.4,20.22884,3.11,2.960528,39.72739905646173,5.086949152542373,0.3489,-0.089839593
99.33712,99.99999955321945,1.865672,46876.568370565044,4.1,21.05506,3.33,2.950821,39.72739905646173,5.086949152542373,0.3892,-0.089839593
99.91422,99.99999955321945,1.858736,46876.568370565044,3.9,21.53484,3.38,3.594769,39.72739905646173,5.086949152542373,0.4548,-0.089839593
100.1413,99.99999955321945,2.230483,46876.568370565044,3.9,21.72139,3.34,3.921567,39.72739905646173,5.086949152542373,0.4544,1.645864038
100.2229,99.99999955321945,2.230483,46876.568370565044,4.3,21.53484,3.49,4.248364,39.72739905646173,5.086949152542373,0.3903,1.645864038
100.0905,99.99999955321945,2.985075,46876.568370565044,4.2,21.85462,3.59,4.248364,39.72739905646173,5.086949152542373,0.7854,1.645864038
99.83589,99.99999955321945,2.985075,46876.568370565044,4.2,21.77472,3.46,4.560259,2.534246,5.086949152542373,0.5958,0.640291153
99.32855,99.99999955321945,3.358209,46876.568370565044,3.9,21.98795,3.34,4.545453,2.433548,5.086949152542373,0.5213,0.640291153
